発表日,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山 ,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
8/25,420,25,3,162,22,32,97,276,101,151,1331,1503,2537,2579,66,70,48,28,58,77,179,320,1059,268,172,367,1557,538,147,67,17,13,167,294,56,47,61,60,42,895,118,60,178,154,75,147,280
8/26,426,81,39,154,50,43,73,247,223,264,1316,1133,4328,1946,113,68,70,41,86,93,382,545,1617,341,234,587,2368,1078,223,90,11,36,160,287,80,49,95,72,88,877,96,73,240,157,136,191,750
8/27,568,104,40,301,37,35,95,275,218,254,1614,1449,4334,2304,159,120,67,56,85,125,382,636,1815,431,220,528,2807,1085,184,85,30,45,302,354,61,56,90,76,111,1092,124,73,226,186,114,240,809
8/28,504,139,30,227,38,37,88,271,227,332,1707,1396,4783,2632,125,91,56,48,72,107,384,549,2141,515,214,601,2829,1006,205,75,36,39,206,356,76,64,96,54,106,991,103,50,260,163,127,192,680
8/29,382,103,41,203,19,27,110,328,167,237,1524,1487,4350,2662,136,86,64,47,76,117,308,643,2346,423,214,523,2814,1059,192,55,20,18,248,371,74,60,84,54,93,996,96,65,250,178,116,148,692
8/30,457,97,42,184,26,53,96,281,205,367,1608,1629,3691,2377,115,76,59,41,77,101,341,601,1891,415,178,538,2641,1048,222,71,20,25,210,339,81,50,68,54,70,953,69,74,259,147,74,157,655
8/31,359,67,58,128,14,30,67,221,154,159,1462,1202,3124,2362,82,46,58,32,48,58,268,498,1385,343,161,466,2389,914,210,38,29,33,188,284,53,59,55,37,54,956,59,55,159,117,81,128,580
9/1,266,54,18,79,8,20,47,227,69,63,1106,1028,1969,1719,53,42,26,29,45,40,200,236,1507,181,113,335,1604,433,161,42,14,17,151,256,43,52,40,49,48,626,52,41,121,122,52,49,207
9/2,305,84,35,128,19,28,57,160,132,195,996,1278,2926,1541,63,36,40,32,72,62,322,477,1610,236,139,439,2346,1024,196,68,25,33,139,252,70,39,62,49,92,685,81,52,238,108,105,78,554
9/3,351,133,44,171,11,29,75,215,164,179,1201,1134,3176,1921,78,46,64,26,42,78,278,479,1876,269,183,529,3004,1017,216,68,13,30,218,266,77,48,65,25,60,1015,82,60,180,127,68,96,535
9/4,314,100,44,147,18,39,74,220,114,174,1113,1088,3097,1738,64,37,41,17,45,58,229,431,1718,248,232,476,2501,953,193,57,21,25,163,229,54,44,58,31,53,793,50,70,171,115,89,91,565
9/5,251,64,48,104,13,14,47,262,136,128,923,1160,2534,1868,39,38,33,25,41,54,233,419,1720,219,137,372,2303,869,169,56,17,28,185,237,52,34,41,36,74,732,72,64,130,83,55,86,507
9/6,224,73,42,97,15,20,53,263,117,105,1075,1202,2370,1632,56,47,25,23,47,45,188,302,1776,161,97,405,2353,755,142,74,15,13,141,245,66,25,30,26,63,641,43,34,129,73,49,67,558
9/7,218,56,42,61,6,13,29,259,82,96,817,1128,1854,1242,60,24,20,34,30,43,164,222,1376,137,69,339,1819,696,156,39,12,11,133,136,42,30,30,26,41,588,48,49,93,62,39,54,367
9/8,123,20,25,34,9,12,35,158,89,48,450,665,974,971,23,24,17,12,27,27,125,129,1190,109,84,258,924,357,116,26,9,2,68,145,22,32,16,13,25,420,20,19,82,52,24,43,167
9/9,137,60,22,73,10,24,31,125,96,88,647,647,1634,738,43,21,25,25,41,30,200,214,1217,120,85,289,1649,620,116,42,11,13,62,136,31,30,26,22,37,424,28,47,117,55,46,56,383
9/10,180,72,22,80,16,14,37,205,109,117,779,608,1840,1099,57,22,18,16,36,37,178,220,1289,111,71,377,2011,850,139,32,8,20,113,150,30,28,21,26,37,572,30,52,94,48,42,53,413
9/11,144,74,28,70,17,25,44,183,104,72,696,589,1677,803,68,14,28,28,31,32,129,173,1169,129,67,270,1488,673,86,21,14,14,72,146,29,40,17,38,40,429,24,33,86,50,30,50,336
9/12,117,44,21,45,6,18,43,163,96,75,556,461,1246,829,58,8,30,27,21,33,110,170,1030,96,57,190,1309,526,86,33,13,9,83,148,24,36,16,19,33,438,21,21,66,38,27,59,301
9/13,156,44,24,77,12,16,36,140,89,56,780,428,1276,861,53,22,35,17,11,28,153,134,970,85,63,198,1263,506,85,20,12,5,46,110,25,29,9,24,32,376,21,21,71,32,21,46,270
9/14,116,46,23,33,17,18,26,134,55,47,504,398,1072,669,25,6,22,26,28,37,64,112,855,60,24,196,1147,397,61,11,3,13,63,95,10,26,8,7,14,292,15,32,38,33,17,36,273
9/15,55,23,8,34,6,5,28,114,44,23,251,294,615,529,8,4,15,7,17,31,44,60,554,38,32,98,452,191,41,9,2,1,24,55,10,13,5,8,9,158,10,10,23,25,19,21,140
9/16,91,49,11,62,11,15,16,78,83,51,506,337,1011,485,35,6,23,17,23,28,75,107,568,68,48,118,942,451,60,21,17,2,38,72,5,15,7,16,14,209,17,33,52,28,23,36,284
9/17,110,55,18,60,5,9,30,120,74,41,513,353,1058,488,39,22,28,8,14,39,85,170,679,56,44,177,1160,367,80,12,4,2,50,107,16,19,10,19,11,248,13,22,36,26,20,30,255
9/18,94,39,13,42,12,7,12,139,74,33,360,296,832,534,33,4,19,14,10,44,67,129,594,44,44,151,858,301,90,18,10,5,44,76,24,9,12,10,4,233,7,12,36,24,19,30,229
9/19,84,36,3,33,2,4,16,107,50,33,348,245,790,547,34,7,14,17,8,38,72,105,581,31,51,121,735,266,54,25,4,10,25,83,7,16,14,4,5,161,10,15,35,23,17,25,185
9/20,77,76,14,34,2,3,16,105,53,27,261,220,865,452,44,9,19,12,11,25,70,96,373,43,30,108,666,302,39,7,3,4,37,48,13,9,14,17,8,165,7,14,65,24,12,15,176
9/21,75,15,7,18,12,1,12,91,30,34,224,213,563,394,27,9,13,7,4,26,33,53,277,31,21,73,467,187,22,10,0,2,21,57,11,7,4,11,4,132,4,5,30,19,12,15,107
9/22,50,31,2,18,8,3,7,63,27,18,155,156,301,257,17,7,14,9,12,8,43,29,182,24,12,47,268,117,22,7,1,6,9,31,7,9,5,4,9,75,5,16,21,14,6,4,80
9/23,36,20,2,20,2,1,9,38,25,36,121,92,258,188,12,3,8,8,6,7,31,18,151,7,12,28,245,76,23,5,0,10,3,38,11,4,4,6,6,75,6,13,20,11,6,4,55
9/24,56,19,2,17,5,3,8,27,46,25,192,140,538,173,24,4,12,41,15,11,54,57,270,20,23,61,591,267,57,5,1,11,21,37,8,4,8,16,14,96,13,17,32,14,5,4,162
9/25,76,32,5,31,10,7,10,50,48,46,239,165,533,259,39,8,8,7,21,17,45,72,358,33,43,109,540,272,24,11,0,4,23,56,9,10,6,22,6,123,6,15,25,19,7,5,141
9/26,63,34,0,25,1,2,6,71,17,13,141,119,239,251,20,5,7,4,16,14,25,32,173,12,12,39,240,115,22,26,1,3,13,44,9,4,4,16,10,125,5,5,11,23,7,2,61
9/27,63,32,1,38,3,19,7,16,40,26,211,150,382,193,24,6,11,3,27,9,40,30,213,17,27,51,425,206,31,10,0,1,13,27,9,9,6,18,6,65,11,3,28,15,15,5,115
9/28,54,14,2,16,0,1,8,47,26,19,131,106,302,193,22,4,10,8,16,12,29,36,165,25,11,53,386,115,24,4,0,3,10,33,4,4,2,10,0,104,4,8,14,18,5,2,71
9/29,19,5,1,6,1,1,5,31,20,7,78,83,155,123,6,5,3,8,4,9,17,17,73,8,11,27,141,78,8,5,0,6,2,30,2,1,0,2,3,39,12,8,10,16,1,2,40
9/30,26,25,0,12,6,1,3,25,19,14,97,76,250,128,21,4,12,3,9,5,49,27,139,13,30,51,281,127,22,6,2,14,4,31,9,2,3,10,4,43,8,6,17,19,1,7,57
10/1,45,23,1,21,0,1,3,44,42,15,153,77,268,130,28,5,8,12,4,12,27,25,155,12,24,52,398,118,12,2,0,7,17,33,7,12,5,7,7,43,8,5,19,10,3,1,69
10/2,26,23,0,14,2,1,5,20,20,8,94,83,219,129,18,1,13,7,5,8,42,17,132,11,12,44,264,109,16,6,0,2,10,38,11,5,0,14,3,35,6,7,15,5,1,2,64
10/3,32,10,3,8,2,7,3,28,17,14,105,75,200,115,20,1,30,0,12,15,37,14,88,11,20,35,241,83,11,9,3,5,10,25,4,3,1,19,2,40,13,8,6,8,1,5,41
10/4,25,10,0,5,11,0,4,19,20,9,73,66,198,82,20,3,15,9,3,10,21,23,88,3,18,33,184,89,10,5,1,3,7,23,2,2,3,12,4,38,5,7,7,10,3,3,43
10/5,9,3,0,4,5,2,4,9,9,11,50,58,161,86,10,1,9,8,0,11,8,3,72,5,6,26,136,59,11,5,1,3,6,40,11,5,1,13,1,45,3,3,6,10,0,0,29
10/6,5,1,0,3,6,0,1,15,16,3,42,42,87,51,11,2,2,2,1,1,18,6,22,3,7,10,96,26,6,3,1,1,12,13,5,3,1,6,2,19,1,3,3,3,1,2,9
10/7,20,10,1,5,2,2,4,12,7,8,67,52,144,77,9,3,8,3,1,5,14,4,62,8,14,19,176,71,12,4,1,0,7,12,7,6,3,14,2,21,4,8,7,6,5,3,38
10/8,16,16,2,2,2,1,2,25,18,8,75,52,149,86,13,9,0,1,3,12,27,11,80,15,5,30,209,76,13,8,1,7,18,27,1,1,1,5,1,26,6,7,7,10,1,1,30
10/9,14,4,0,4,1,0,6,16,17,9,68,43,143,102,8,4,1,5,1,6,25,9,61,15,5,27,165,87,10,5,2,0,8,16,3,1,1,8,3,15,6,3,9,11,2,4,16
10/10,21,2,0,3,0,0,1,12,13,8,25,35,138,65,8,6,1,3,1,10,14,5,42,12,5,26,166,60,17,1,4,0,9,11,10,1,0,11,1,15,4,12,0,14,0,3,29
10/11,24,19,0,3,1,0,0,19,12,9,37,35,82,81,6,8,2,3,5,8,27,8,43,10,6,20,124,45,10,2,0,0,4,12,13,2,0,13,0,30,5,5,5,9,1,4,15
10/12,17,7,1,1,1,1,0,17,8,8,28,30,60,54,6,1,2,4,0,3,18,5,35,7,1,24,105,27,2,0,0,0,3,12,3,0,0,10,0,18,4,4,2,2,1,0,14
10/13,16,0,0,0,0,0,1,3,2,7,21,25,49,49,2,3,2,1,0,2,20,4,15,4,1,8,49,11,5,1,0,0,6,5,1,1,1,10,1,17,3,3,1,1,1,0,7
10/14,16,31,0,3,0,1,0,6,13,5,25,27,77,46,5,4,1,7,0,4,9,4,35,3,3,12,103,52,6,2,3,1,8,7,13,1,0,10,5,13,3,1,3,2,1,5,29
10/15,21,34,0,0,0,7,4,11,7,14,51,36,72,50,1,4,7,0,0,7,18,3,40,7,1,21,125,39,16,1,4,0,10,26,10,0,2,7,0,22,1,5,3,2,0,2,32
10/16,45,8,0,3,0,5,1,5,5,2,35,19,62,52,3,1,2,6,3,5,12,2,34,5,6,9,112,30,19,2,0,4,3,30,1,0,0,7,3,25,0,4,1,1,0,5,33
10/17,27,19,0,1,0,4,3,9,6,4,26,17,57,33,5,2,3,1,0,2,7,5,34,9,4,13,65,26,9,1,1,1,7,28,3,1,0,5,2,16,0,4,18,1,3,4,31
10/18,24,4,0,3,1,0,3,5,7,9,22,9,66,35,3,3,1,0,2,7,7,6,33,6,8,9,78,17,6,0,0,6,4,22,9,3,0,7,3,21,2,5,13,2,0,4,25
10/19,38,0,0,1,0,4,2,5,1,3,19,17,40,37,1,2,2,1,0,0,6,4,29,2,2,6,71,31,3,0,0,17,6,16,5,0,1,6,4,14,2,11,8,0,0,0,7
10/20,11,0,0,0,0,0,1,1,1,1,14,6,29,23,0,2,1,0,2,2,10,4,10,0,3,2,29,7,4,0,2,0,4,6,4,0,0,3,8,8,5,2,0,0,0,0,16
10/21,12,6,0,0,0,9,0,6,6,6,17,12,36,10,1,0,1,2,2,4,10,3,15,2,5,7,83,29,3,1,1,2,9,5,3,0,1,4,2,10,4,6,0,0,1,1,29
10/22,14,1,0,0,1,1,0,7,5,6,12,12,41,16,1,1,3,1,0,5,5,7,26,4,4,8,73,25,11,1,0,8,8,14,4,0,0,4,2,15,5,6,4,2,1,0,20
10/23,11,5,0,0,1,0,0,6,3,4,11,21,36,39,2,0,8,0,0,2,8,4,22,6,5,4,42,28,2,0,0,0,3,9,1,0,1,7,4,11,2,5,1,0,0,0,18
10/24,15,2,0,1,0,2,3,5,1,15,17,5,26,24,1,0,3,0,1,5,10,0,36,3,6,7,51,26,0,2,0,0,2,11,4,0,1,2,3,8,9,0,3,0,0,0,14
10/25,5,1,0,1,3,0,0,3,2,2,17,13,32,9,2,3,2,2,3,3,6,2,22,3,6,11,46,24,4,0,0,3,2,7,3,1,1,6,0,8,4,2,2,0,0,0,9
10/26,18,2,0,0,0,0,0,0,1,10,6,2,19,11,1,0,3,0,0,1,5,1,18,3,6,11,38,17,5,0,0,0,3,5,4,0,1,4,2,4,7,0,0,4,0,0,13
10/27,1,1,0,3,0,0,0,0,1,2,3,3,17,7,1,1,0,0,0,4,5,0,8,3,3,4,26,19,2,1,0,0,2,7,1,0,0,4,0,7,4,0,0,0,0,0,5
10/28,13,2,0,0,0,3,0,3,2,4,8,10,29,13,5,1,1,0,0,8,7,2,35,9,7,10,50,35,11,1,1,0,3,6,2,0,1,5,0,1,0,1,0,0,0,4,12
10/29,9,2,0,0,1,1,0,1,0,10,14,7,36,15,4,3,2,0,1,0,10,0,20,0,5,1,66,18,5,0,3,8,11,6,1,0,0,10,2,9,2,3,4,0,0,0,18
10/30,5,0,0,1,0,0,1,2,1,8,15,9,21,16,1,4,4,0,0,3,4,1,23,2,1,6,61,20,2,1,0,9,6,7,6,1,0,7,0,5,1,4,0,0,0,0,9
10/31,8,0,0,2,3,0,0,4,2,15,12,7,24,8,1,1,1,0,0,3,14,2,21,4,1,5,52,23,5,0,2,11,9,8,10,0,0,6,2,12,1,5,1,0,0,0,6
